Year 2017,elevation,ba,ea,eb,eh,ey,fb,l,la,ld,nm,np,ns,sf,sm,so,sp,u,uc,ud,unknown,wa,wb,we
2017,542,0,0,13,0,8,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0
2017,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0
2017,933,0,4,0,0,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
2017,1116,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,1,5,15,0,2,1,0
2017,1270,1,9,6,1,0,0,0,0,0,16,0,0,0,6,17,0,0,0,22,2,0,0,1
2017,1277,0,5,1,0,0,1,0,0,0,1,0,0,27,4,0,1,0,0,1,0,1,0,0
2017,1362,0,3,1,0,0,0,0,0,0,1,1,7,6,7,0,1,0,1,3,0,0,1,0
2017,1478,0,0,0,0,0,0,1,16,0,0,0,11,9,6,0,1,0,2,0,0,0,0,1
2017,1703,0,0,0,0,0,0,0,0,0,0,0,33,2,2,0,0,0,0,0,0,0,0,0
2017,1844,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0
2017,1902,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Year 2016,elevation,ba,ch,ea,eb,eh,ey,fm,ha,hb,la,li,nm,ns,sf,sm,so,sp,uc,ud,unknown,wa,wb,we,wf
2016,667,3,0,0,10,0,1,0,0,0,0,1,0,5,17,0,0,4,1,0,0,3,0,0,0
2016,933,0,0,0,21,0,0,0,0,0,1,0,0,3,20,0,0,2,0,9,0,0,1,0,0
2016,1116,0,0,6,26,0,0,0,3,0,0,0,1,20,5,0,0,0,0,0,3,1,0,0,9
2016,1205,0,1,0,11,0,0,1,0,0,0,0,0,11,9,0,0,0,0,5,0,2,0,0,0
2016,1213,0,0,0,0,0,0,0,0,0,0,0,2,22,0,1,0,1,7,16,52,0,0,0,0
2016,1270,3,0,5,0,1,0,27,1,0,0,0,0,0,0,8,1,0,0,5,0,3,0,0,0
2016,1277,0,0,4,16,0,0,0,0,5,0,0,4,8,14,0,0,0,6,3,0,0,0,0,0
2016,1362,0,2,2,2,1,0,2,0,0,1,0,0,11,4,6,0,0,0,1,0,0,0,0,0
2016,1419,0,0,2,0,0,0,0,0,0,14,0,2,22,44,6,0,1,0,1,1,0,0,0,0
2016,1478,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0,1,27,1,36,0,0,0,0
2016,1703,0,0,0,0,0,0,0,0,0,0,0,0,19,25,1,0,8,0,0,0,0,0,0,0
2016,1844,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0
2016,1902,0,0,0,0,0,0,0,0,0,1,0,0,8,4,0,0,1,0,0,1,1,0,1,0
Year 2015,elevation,aspen,b,ba,birch,broad-leaved lime,ch,dead,ea,eb,eb budburst,fm,ha,holly,la,larch,ma,maple,ns,ro,sb,sf,sm,small-leaved lime,sp,spruce,spruce bush,st,uc,ud,unknown,wa,wb,we
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015,667,0,0,0,0,1,0,0,6,8,0,0,0,0,0,0,0,0,1,0,0,10,2,1,0,0,0,0,11,5,10,0,0,0
2015,1000,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,7,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
2015,1116,24,0,0,0,0,11,1,13,0,0,0,1,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,1,14,0,0
2015,1205,0,0,0,0,0,0,1,2,7,0,0,0,0,5,0,0,3,6,1,1,12,1,0,0,6,0,0,2,2,11,2,0,0
2015,1213,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,30,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0
2015,1270,0,0,1,0,0,0,0,0,2,0,1,0,0,5,0,0,0,10,0,0,3,2,0,0,0,0,0,0,0,0,8,0,0
2015,1277,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,26,0,0,6,3,0,0,0,0,0,0,0,0,0,5,1
2015,1362,0,0,0,2,0,0,1,0,1,1,1,1,1,2,1,0,0,11,0,2,6,2,0,0,2,0,0,0,0,0,2,1,0
2015,1478,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,33,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,1703,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,10,0,5,11,5,0,0,0,0,0,0,0,1,0,0,0
2015,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
